Prizepool: 5 EUR,1st: 5 EUR,2nd: 0 EUR,3rd: 0 EUR
Prizepool: 10 EUR,1st: 5 EUR,2nd: 5 EUR,3rd: 0 EUR
Prizepool: 15 EUR,1st: 10 EUR,2nd: 5 EUR,3rd: 0 EUR
Prizepool: 20 EUR,1st: 10 EUR,2nd: 5 EUR,3rd: 5 EUR
Prizepool: 25 EUR,1st: 15 EUR,2nd: 5 EUR,3rd: 5 EUR
Prizepool: 30 EUR,1st: 15 EUR,2nd: 10 EUR,3rd: 5 EUR
Prizepool: 35 EUR,1st: 20 EUR,2nd: 10 EUR,3rd: 5 EUR
Prizepool: 40 EUR,1st: 20 EUR,2nd: 15 EUR,3rd: 5 EUR
Prizepool: 45 EUR,1st: 25 EUR,2nd: 15 EUR,3rd: 5 EUR
Prizepool: 50 EUR,1st: 25 EUR,2nd: 15 EUR,3rd: 10 EUR
Prizepool: 55 EUR,1st: 30 EUR,2nd: 15 EUR,3rd: 10 EUR
Prizepool: 60 EUR,1st: 30 EUR,2nd: 20 EUR,3rd: 10 EUR
Prizepool: 65 EUR,1st: 35 EUR,2nd: 20 EUR,3rd: 10 EUR
Prizepool: 70 EUR,1st: 35 EUR,2nd: 25 EUR,3rd: 10 EUR
Prizepool: 75 EUR,1st: 40 EUR,2nd: 25 EUR,3rd: 10 EUR
Prizepool: 80 EUR,1st: 40 EUR,2nd: 25 EUR,3rd: 15 EUR
Prizepool: 85 EUR,1st: 45 EUR,2nd: 25 EUR,3rd: 15 EUR
Prizepool: 90 EUR,1st: 45 EUR,2nd: 30 EUR,3rd: 15 EUR
Prizepool: 95 EUR,1st: 50 EUR,2nd: 30 EUR,3rd: 15 EUR
Prizepool: 100 EUR,1st: 50 EUR,2nd: 35 EUR,3rd: 15 EUR
Prizepool: 105 EUR,1st: 55 EUR,2nd: 35 EUR,3rd: 15 EUR
Prizepool: 110 EUR,1st: 55 EUR,2nd: 35 EUR,3rd: 20 EUR
Prizepool: 115 EUR,1st: 60 EUR,2nd: 35 EUR,3rd: 20 EUR
Prizepool: 120 EUR,1st: 60 EUR,2nd: 40 EUR,3rd: 20 EUR
Prizepool: 125 EUR,1st: 65 EUR,2nd: 40 EUR,3rd: 20 EUR
Prizepool: 130 EUR,1st: 65 EUR,2nd: 45 EUR,3rd: 20 EUR
Prizepool: 135 EUR,1st: 70 EUR,2nd: 45 EUR,3rd: 20 EUR
Prizepool: 140 EUR,1st: 70 EUR,2nd: 45 EUR,3rd: 25 EUR
Prizepool: 145 EUR,1st: 75 EUR,2nd: 45 EUR,3rd: 25 EUR
Prizepool: 150 EUR,1st: 75 EUR,2nd: 50 EUR,3rd: 25 EUR
Prizepool: 155 EUR,1st: 80 EUR,2nd: 50 EUR,3rd: 25 EUR
Prizepool: 160 EUR,1st: 80 EUR,2nd: 55 EUR,3rd: 25 EUR
Prizepool: 165 EUR,1st: 85 EUR,2nd: 55 EUR,3rd: 25 EUR
Prizepool: 170 EUR,1st: 85 EUR,2nd: 55 EUR,3rd: 30 EUR
Prizepool: 175 EUR,1st: 90 EUR,2nd: 55 EUR,3rd: 30 EUR
Prizepool: 180 EUR,1st: 90 EUR,2nd: 60 EUR,3rd: 30 EUR
Prizepool: 185 EUR,1st: 95 EUR,2nd: 60 EUR,3rd: 30 EUR
Prizepool: 190 EUR,1st: 95 EUR,2nd: 65 EUR,3rd: 30 EUR
Prizepool: 195 EUR,1st: 100 EUR,2nd: 65 EUR,3rd: 30 EUR
Prizepool: 200 EUR,1st: 100 EUR,2nd: 65 EUR,3rd: 35 EUR
Prizepool: 205 EUR,1st: 105 EUR,2nd: 65 EUR,3rd: 35 EUR
Prizepool: 210 EUR,1st: 105 EUR,2nd: 70 EUR,3rd: 35 EUR
Prizepool: 215 EUR,1st: 110 EUR,2nd: 70 EUR,3rd: 35 EUR
Prizepool: 220 EUR,1st: 110 EUR,2nd: 75 EUR,3rd: 35 EUR
Prizepool: 225 EUR,1st: 115 EUR,2nd: 75 EUR,3rd: 35 EUR
Prizepool: 230 EUR,1st: 115 EUR,2nd: 75 EUR,3rd: 40 EUR
Prizepool: 235 EUR,1st: 120 EUR,2nd: 75 EUR,3rd: 40 EUR
Prizepool: 240 EUR,1st: 120 EUR,2nd: 80 EUR,3rd: 40 EUR
Prizepool: 245 EUR,1st: 125 EUR,2nd: 80 EUR,3rd: 40 EUR
Prizepool: 250 EUR,1st: 125 EUR,2nd: 85 EUR,3rd: 40 EUR
